City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Galle,LK,298.31,clear sky,6.0367,80.217,Amangalla
173,Biak,ID,299.83,overcast clouds,-0.9131,122.8766,Penginapan Kim
174,Boffa,GN,297.32,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
175,Tezu,IN,296.75,clear sky,27.9167,96.1667,Circuit House
178,Prata,BR,295.78,overcast clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
179,Itarema,BR,298.36,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
187,Bodden Town,KY,299.15,broken clouds,19.2833,-81.25,Will T Place
189,Esmeraldas,BR,299.63,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
190,Saint-Philippe,RE,298.92,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
192,Idenao,CM,299.22,overcast clouds,4.2475,9.0047,Moland Beach Resort
194,Padang,ID,293.18,broken clouds,-0.9492,100.3543,Mercure Padang
200,Imbituba,BR,293.38,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
203,Barentu,ER,293.33,clear sky,15.1139,37.5928,
204,Ponta Do Sol,PT,290.4,overcast clouds,32.6667,-17.1,Hotel do Campo
205,Ribas Do Rio Pardo,BR,295.6,light rain,-20.4431,-53.7592,Pousada Avenida
206,Ambanja,MG,296.62,light rain,-13.6833,48.45,Hotel Salama and Fast Food
211,Pemangkat,ID,299.57,scattered clouds,1.1667,108.9667,Ramah Kost KITA
214,Buriti Bravo,BR,295.68,light rain,-5.8372,-43.8336,Hotel Brasil
221,Portland,US,294.17,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
228,Lamar,US,297.1,clear sky,33.6668,-95.5836,Kings Inn Paris TX
233,De Aar,ZA,293.18,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
234,Cidreira,BR,293.79,clear sky,-30.1811,-50.2056,Hotel Castelo
235,Burnie,AU,293.67,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
238,San Jose,US,292.91,broken clouds,37.3394,-121.895,The Westin San Jose
241,Panaba,MX,296.05,clear sky,21.2833,-88.2667,Hotel California
243,Rantepao,ID,298.65,broken clouds,-2.9701,119.8978,Hotel Luta Resort
245,Port Elizabeth,ZA,291.54,clear sky,-33.918,25.5701,39 On Nile Guest House
247,Mahebourg,MU,297.31,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
253,Armidale,AU,290.26,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
254,Buchanan,LR,299.31,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
256,Reyes,BO,294.65,overcast clouds,-14.3167,-67.3833,
257,Labuhan,ID,300.0,light rain,-6.8844,112.2051,DoubleFAG
259,Nalut,LY,290.58,clear sky,30.3333,10.85,
263,Charlestown,AU,297.6,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
265,Tchollire,CM,295.76,scattered clouds,8.4022,14.1698,"Auberge ""l'amicale"""
270,East London,ZA,294.19,overcast clouds,-33.0153,27.9116,Tu Casa
271,Butwal,NP,294.25,clear sky,27.7006,83.4484,Hotel Sindoor Pvt. Ltd.
273,Chongwe,ZM,292.02,light rain,-15.3292,28.682,Grakas Lodge
274,Pacific Grove,US,291.25,clear sky,36.6177,-121.9166,Lovers Point Inn
277,Niceville,US,293.47,clear sky,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
280,Canon City,US,291.21,clear sky,38.441,-105.2424,Travel Inn Motel
281,San Cristobal,VE,295.25,overcast clouds,7.7669,-72.225,Pirineos
283,Langsa,ID,298.74,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
284,Ahipara,NZ,295.01,clear sky,-35.1667,173.1667,Ahipara Holiday Park
285,Hadejia,NG,294.97,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
289,Manaure,CO,299.95,scattered clouds,11.7751,-72.4445,Hotel Palaaima
292,Veraval,IN,298.82,clear sky,20.9,70.3667,Lords Inn Somnath
293,Aripuana,BR,296.52,overcast clouds,-9.1667,-60.6333,
296,Morgan City,US,295.15,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
297,Jardim,BR,295.53,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
298,Nelson Bay,AU,296.18,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
302,Maldonado,UY,293.28,clear sky,-34.6667,-54.9167,La Cimarrona
304,Tondano,ID,299.2,overcast clouds,1.3038,124.9112,Villa Bella
307,Pisco,PE,294.18,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
308,Laguna,US,292.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
316,Nouadhibou,MR,291.14,overcast clouds,20.931,-17.0347,El Medina
321,Sagua La Grande,CU,294.7,moderate rain,22.8067,-80.0756,Hotel Telégrafo
323,Tignere,CM,293.08,broken clouds,7.3667,12.65,SADECK
324,Magole,TZ,294.86,broken clouds,-6.3667,37.3667,Juma lubelwa
325,Jacareacanga,BR,296.71,moderate rain,-6.2222,-57.7528,Casa do Ian😎
326,Bara,NG,296.93,few clouds,10.3744,10.7288,
330,Ballina,AU,295.25,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
333,Narasannapeta,IN,299.31,overcast clouds,18.4167,84.05,AVK events and catering
334,Manta,EC,298.95,overcast clouds,-0.95,-80.7333,Balandra Hotel
335,Fernley,US,295.63,overcast clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
337,Show Low,US,294.07,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
338,Harper,LR,299.85,scattered clouds,4.375,-7.7169,Screensaver
340,Half Moon Bay,US,292.07,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
343,Bocaiuva,BR,297.99,overcast clouds,-17.1078,-43.815,Hotel Maxim's
345,Dakar,SN,292.22,few clouds,14.6937,-17.4441,Novotel Dakar
346,Barbosa Ferraz,BR,291.45,clear sky,-24.03,-52.0117,Edicula Sanches
347,Simao,CN,291.42,clear sky,22.7886,100.9748,Changyu Hotel
348,Bandarbeyla,SO,298.2,few clouds,9.4942,50.8122,JABIR HOTEL
351,Det Udom,TH,297.05,overcast clouds,14.906,105.0784,Chatsuda Resort
352,El Estor,GT,295.17,broken clouds,15.5333,-89.35,Chalet Castillo
