City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
88,Umm Kaddadah,SD,13.6017,26.6876,290.93,9,8,clear sky
89,Pflugerville,US,30.4394,-97.62,301.45,29,0,clear sky
90,Whitefish,US,48.4111,-114.3376,291.01,27,0,clear sky
91,Edson,CA,53.5835,-116.4356,275.23,87,100,overcast clouds
92,Nikolskoye,RU,59.7035,30.7861,268.1,93,100,light snow
93,Severo-Kurilsk,RU,50.6789,156.125,273.58,89,96,light snow
94,Husavik,IS,66.0449,-17.3389,268.73,71,98,overcast clouds
95,Orlik,RU,52.5178,99.825,258.05,92,100,overcast clouds
96,Banjar,ID,-8.19,114.9675,300.44,79,99,overcast clouds
97,Whitehaven,GB,54.549,-3.5841,285.74,79,100,overcast clouds
98,Borgarnes,IS,64.5383,-21.9206,278.18,85,100,overcast clouds
99,Coari,BR,-4.085,-63.1414,296.84,98,100,overcast clouds
100,Marsh Harbour,BS,26.5412,-77.0636,294.94,51,0,clear sky
101,Victoria,HK,22.2855,114.1577,291.45,93,100,light rain
102,Calabozo,VE,8.9242,-67.4293,304.18,41,99,overcast clouds
103,Chuy,UY,-33.6971,-53.4616,290.04,65,0,clear sky
104,Minab,IR,27.1467,57.0801,294.85,72,9,clear sky
105,Zyryanka,RU,65.75,150.85,259.94,87,68,broken clouds
106,Te Anau,NZ,-45.4167,167.7167,296.02,44,1,clear sky
107,Kavieng,PG,-2.5744,150.7967,302.25,70,47,scattered clouds
108,Billings,US,45.7833,-108.5007,293.02,28,75,broken clouds
109,Lucea,JM,18.451,-78.1736,300.07,72,18,few clouds
110,Ribeira Grande,PT,38.5167,-28.7,288.77,83,99,overcast clouds
111,Keningau,MY,5.3378,116.1602,298.23,85,99,overcast clouds
112,Tasiilaq,GL,65.6145,-37.6368,270.24,69,100,overcast clouds
113,Touros,BR,-5.1989,-35.4608,299.96,83,96,overcast clouds
114,Isangel,VU,-19.55,169.2667,304.21,70,75,broken clouds
115,Codrington,AU,-38.2667,141.9667,293.08,62,1,clear sky
116,Manakara,MG,-22.1333,48.0167,296.42,96,80,light rain
117,Norman Wells,CA,65.282,-126.8329,259.17,66,75,light snow
118,Flinders,AU,-34.5833,150.8552,295.4,88,100,overcast clouds
119,Semporna,MY,4.4818,118.6112,299.37,83,100,overcast clouds
